Season,Pos,Player,Team,GP,P Yds,P Comp,P TD,INT,Ru Yds,Ru TD,Rec,Rec Yds,Rec TD,Actual FFP,Projected FFP,Diff Perc,Top Prospect,Bottom Prospect,Pos Tier,Pos Prospect Mean Diff,Pos Prospect SD
2023,RB,Raheem Blackshear,CAR,12,,,,,46,,6,45,,12,41,-71%,FALSE,TRUE,RB3,16%,123%
2023,RB,Evan Hull,IND,1,,,,,,,1,6,,1,40,-97%,FALSE,TRUE,RB3,16%,123%
2023,RB,Latavius Murray,BUF,16,,,,,300,4,17,119,,74,39,92%,FALSE,TRUE,RB3,16%,123%
2023,RB,Chase Brown,CIN,12,,,,,179,,14,156,1,47,38,23%,FALSE,TRUE,RB3,16%,123%
2023,RB,Michael Carter,ARI,6,,,,,149,,9,33,1,29,36,-21%,FALSE,TRUE,RB3,16%,123%
2023,RB,Eric Gray,NYG,13,,,,,48,,6,22,,10,35,-72%,FALSE,TRUE,RB3,16%,123%
2023,RB,Ronnie Rivers,LA,9,,,,,129,,5,22,,18,35,-49%,FALSE,TRUE,RB3,16%,123%
2023,RB,Chris Rodriguez,WAS,13,,,,,247,2,2,12,,39,34,13%,FALSE,TRUE,RB3,16%,123%
2023,RB,Isaiah Spiller,LAC,9,,,,,96,,6,34,,16,34,-53%,FALSE,TRUE,RB3,16%,123%
2023,RB,Dare Ogunbowale,HOU,12,,,,,35,,2,18,,6,30,-79%,FALSE,TRUE,RB3,16%,123%
2023,RB,Trayveon Williams,CIN,17,,,,,69,,7,10,,11,30,-62%,FALSE,TRUE,RB3,16%,123%
2023,RB,D'Onta Foreman,CLE,9,,,,,425,4,11,77,1,86,28,207%,FALSE,TRUE,RB3,16%,123%
2023,RB,Ty Montgomery,NE,13,,,,,9,,5,40,,7,26,-72%,FALSE,TRUE,RB3,16%,123%
2023,RB,Jaleel McLaughlin,DEN,17,,,,,410,1,31,160,2,91,24,275%,FALSE,TRUE,RB3,16%,123%
2023,RB,Salvon Ahmed,MIA,8,,,,,61,1,16,88,1,35,22,56%,FALSE,TRUE,RB3,16%,123%
2023,RB,Brandon Bolden,LV,17,,,,,31,1,,,,9,22,-59%,FALSE,TRUE,RB3,16%,123%
